timestamp,input_url,source_host,score,verdict,title,description,author,print_time_ai,material_ai,downloads,likes,search_volume,search_trend,etsy_listings,etsy_avg_price,market_insight,sell_price,units_per_month,gross_revenue,print_cost,etsy_fees,net_profit,manufacturing_verdict,is_3d_optimal,printing_advantage,etsy_ban_risk,etsy_ban_reason,legal_risk,legal_desc,copyright_risk,copyright_desc,best_platform,category,marketplace,price_range,print_time_input,material_input,seller_goal,printer_count,printer_type,experience,weekly_time,active_markets,social_media,sell_from,sell_to,legal_flags
2026-04-25T20:38:22.372Z,https://makerworld.com/models/2598185?appSharePlatform=copy,makerworld.com/models/2598185,42,Marginal — needs a unique angle,125dB Three-Hole Ultra-Loud Whistle for Outdoor Survival with Keychain (Mecha Style),"A mechanically styled triple-hole whistle rated at 125dB for outdoor survival use, with an optional keychain attachment. Designed for no-support printing in approximately 1.3 hours.",sea2025,1.3h,"~18g PLA (estimated for a small whistle at 15% infill, 2 walls)",5.7k,,8000,Stable,3200,€9,"<b>Whistles on Etsy face a brutal commodity squeeze</b> — injection-moulded and metal versions from Amazon and AliExpress flood the market at €2–5, making it very hard to justify a 3D-printed version at a meaningful margin without a clear differentiator. <b>The mecha styling is a genuine angle</b> but the niche is narrow; buyers interested in survival gear tend to prioritise proven materials (metal, ABS) over PLA aesthetics. <b>Photography is achievable</b> but the small size and mechanical detail require a macro lens or styled flat-lay with paracord and carabiner props to communicate the outdoor survival story — without this, the product looks like a cheap plastic toy in listing photos.",€11.00,30,330,17,33,275,"Works, but has limits",TRUE,,,,,,,,,functional,,,,,testing,,,,,,,,WORLDWIDE,
2026-04-25T21:29:07.762Z,https://makerworld.com/models/2387676?appSharePlatform=copy,makerworld.com/models/2387676,42,Marginal — needs a unique angle,North Face Beanie Desk Organiser,"A knit-texture beanie-shaped desk organiser designed to hold pens, pencils, and small tools with a cosy aesthetic appeal. Inspired by classic folded-cuff beanies, it adds personality to office and gaming desks.",Print Labs 3D,10.6h,Approx. 80–110g PLA (matte recommended),1.2k,,18000,Stable,42000,€16,"<b>Demand exists but the category is saturated:</b> 'cute pen holder' and 'aesthetic desk organiser' are active Etsy searches, but 42,000+ listings mean discoverability is hard for a new seller with zero reviews. <b>The knit-texture novelty is the differentiator</b> — no direct 3D-printed beanie organiser appears to dominate search yet, giving a small window — but the <b>North Face branding reference in the title and tags creates a serious IP liability</b> that outweighs any SEO benefit. At 10.6h print time per unit, a single printer produces at most 1 unit per day, making this a slow earner at the €15–25 price point.",€20.00,10,200,36,20,119,"Works, but has limits",TRUE,,,,,,,,,decor,social,15-30,,,testing,,,new,,,,PT,WORLDWIDE,none
2026-04-25T21:42:46.523Z,https://makerworld.com/models/2680162?appSharePlatform=copy,makerworld.com/models/2680162,18,Don't sell — IP ban risk,Baby Nike Keychain,"A miniature AJ1 sneaker keychain designed for high-detail FDM printing, part of an 'Iconic Sneakers Collection' series. It is a decorative novelty item requiring a split-ring keychain accessory for assembly.",Beto León Maker,9h,"~25g PLA (multi-colour, estimated for small keychain geometry)",,,4200,Stable,8500,€9,"<b>Demand exists but is almost entirely captured by licensed merch and cheap imports.</b> A 3D-printed AJ1 keychain sits in a crowded, price-sensitive category where buyers expect to pay €3–9 and can find near-identical products on Amazon or AliExpress for under €3. <b>Buyer perception of 3D-printed keychains in this category skews negatively</b> — the layer-line texture on a small sneaker silhouette reads as 'cheap prototype' rather than 'handcrafted,' and the Nike branding makes the product legally unsellable on any reputable platform. <b>Production is also bottlenecked</b> at roughly 1 unit per day on a single printer with a 9-hour print time, making monthly output too low to justify the compliance and IP risks involved.",€9.00,10,90,8,9,48,"Works, but has limits",FALSE,,,,,,,,,wearable,social,5-15,,,testing,,,new,,,,PT,WORLDWIDE,none
2026-04-25T21:44:37.724Z,https://makerworld.com/models/2683356?appSharePlatform=copy,makerworld.com/models/2683356,32,Don't sell — commodity undercut by Amazon,Broom Holder - Wall-Mounted Snap Fit Broom Hook,"A simple wall-mounted broom holder with a snap-fit mechanism available in three handle diameters (25mm, 30mm, 35mm). Print-in-place design requiring no supports, mounted with two screws.",VC_design,1.1h (single unit profile),approx. 35g PLA,,,3800,Stable,4200,€9,"<b>Demand exists but competition from mass-manufactured products is the critical problem.</b> Identical broom holders in metal and heavy-duty plastic sell on Amazon for €3–€7 with Prime delivery, making it very difficult to justify a 3D-printed PLA version to a price-conscious buyer. <b>The Etsy audience skews toward handmade and unique items</b> — a plain functional broom clip offers no craft story, no personalisation hook, and no visual wow factor to differentiate it. Photography is challenging: the product is small, matte, single-colour, and featureless, making it hard to create compelling listing images that convert.",€9.00,30,270,33,27,160,Wrong method — consider alternatives,FALSE,,,,,,,,,functional,,5-15,,,,,,,,,,PT,WORLDWIDE,none
2026-04-25T21:59:32.510Z,https://makerworld.com/models/1087329?appSharePlatform=copy,makerworld.com/models/1087329,28,Don't sell — IP and policy risk,Porsche 911 GT3 RS Wall Art,A thin 2.5mm wall art silhouette of the Porsche 911 GT3 RS designed for quick single-plate printing in one or two colours. Simple flat profile intended as home or garage decor.,Recticle,1h 24m,approx. 25g PLA,24k,,4200,Stable,12000,€22,"<b>Automotive wall art has genuine Etsy search demand</b>, but the category is saturated with generic car silhouettes and the competitor quality bar is high — top listings have 500+ reviews and studio-quality lifestyle photography. <b>The critical problem here is not demand but IP exposure</b>: Porsche AG actively enforces its trademarks and trade dress globally, meaning any listing that names 'Porsche', '911', or 'GT3 RS' in the title or tags can be taken down via DMCA or trademark notice, and repeat violations risk shop suspension. <b>Buyers in Portugal shipping worldwide also face elevated international shipping costs</b> that erode margin on a low-weight item priced at €30–60, making the effective net per unit fragile.",€40.00,40,1600,32,160,1341,Wrong method — consider alternatives,FALSE,,,,,,,,,,,30-60,,,,,,,,,,PT,WORLDWIDE,none
2026-04-25T22:07:01.414Z,https://makerworld.com/models/564521?appSharePlatform=copy,makerworld.com/models/564521,28,Don't sell — commodity IP risk,55-66-88 Tri-Angle Phone Stand,"A minimalist triangular phone stand offering three viewing angles (55°, 66°, 88°) for comfortable phone use and video calls. This is a 3D-printed replica of the CW&T 55-66-88 metal phone stand.",ChunkAhoy,1.1h,~25g PLA (estimated for a small minimalist stand at 15% infill),,,18000,Stable,12000,€9,"<b>The phone stand market on Etsy is saturated</b> with over 12,000 listings and top sellers holding hundreds of reviews and professional lifestyle photography — a new seller with an unbranded plastic stand will struggle to surface. <b>Buyer perception is the core problem:</b> plain FDM PLA phone stands look cheap relative to the metal original (CW&T sells theirs for ~$38 USD), and without a personalisation hook or colour story, there is almost no reason for a buyer to choose a €9–12 printed version over a €3 AliExpress equivalent. <b>Photography is a significant barrier</b> — a small, minimalist, matte plastic object is one of the hardest product categories to shoot attractively without a studio setup and lifestyle props.",€9.00,15,135,12,14,84,"Works, but has limits",FALSE,,,,,,,,,decor,,,,,testing,,,,,,,,WORLDWIDE,
2026-04-25T22:23:33.159Z,https://makerworld.com/en/models/2343989-roman-centurion-kitty-helmet?from=recommend#profileId-2562574,makerworld.com/en/models/2343989-roman-centurion-kitty-helmet,52,Marginal — needs a unique angle,Roman Centurion Kitty Helmet,"A 3D-printed miniature Roman centurion helmet designed to be worn by cats, with an optional two-color print. Marketed as a novelty accessory for pet photo sessions and cosplay moments.",Modern Studio,6.1h,"~55g PLA (estimated for a small pet accessory at 0.2mm layer, 15% infill)",8.3k,,9400,↑ 18% YoY,4200,€19,"<b>Demand for novelty cat accessories is real</b>, driven by social-media gifting culture and the 'cat mum' buyer persona who actively searches Etsy for unique pet photo props. However, <b>competition is high</b>: cheap fabric and felt cat hats from AliExpress list at €3–8, creating a price-perception ceiling that makes €15–30 a harder sell unless the listing is backed by compelling lifestyle photography. <b>Seasonality peaks around Halloween and Christmas</b>, meaning a seller launching now (early 2026) has a natural window to build reviews before the Q4 gift surge. Production on a single unspecified FDM printer is capped at roughly 40–50 units/month at this print time, which limits revenue upside significantly.",€19.00,20,380,87,,293,"Works, but has limits",TRUE,"Zero tooling cost — seller can test multiple colourways and size variants (kitten vs. adult cat) at no additional setup cost, reducing market-testing risk to near zero.",medium,"The model is hosted on MakerWorld and listed as free; however, the scraped data does not explicitly state a commercial or print-for-sale license — the seller should check the license tab on the model page and, if",,,,,,decor,own,15-30,,,testing,,,some,,,,FR,WORLDWIDE,kids
2026-04-25T22:25:24.941Z,https://makerworld.com/en/models/2343989-roman-centurion-kitty-helmet?from=recommend#profileId-2562574,makerworld.com/en/models/2343989-roman-centurion-kitty-helmet,62,Good for the right audience,Roman Centurion Kitty Helmet,"A decorative 3D-printed Roman centurion helmet scaled for cats, designed for novelty photo sessions and pet cosplay. Available as a single-colour or optional two-colour print with a lightweight, stylish finish.",Modern Studio,6.1h,Approx. 80–120g PLA (pet accessory scale; two-colour version adds swap overhead),8.3k,,18000,up 20% YoY,4200,€16,"<b>Pet novelty accessories punch above their weight on Etsy</b> — the 'funny cat gift' search cluster is large, emotionally driven, and skews strongly female and under-35, matching Etsy's core demographic. However, <b>competition is mid-tier and growing</b>: several listings already offer 3D-printed cat hats and helmets, so differentiation through photography quality, two-colour presentation, and size options is essential. The product is highly photogenic with a real cat modelling it, which is your single biggest conversion lever. <b>Production is the constraint</b>: at 6.1h per unit on a single printer, realistic output is 2 units/day, meaning Q4 demand spikes will be hard to fulfil without queuing orders carefully or acquiring a second printer.",€18.00,28,504,114,50,270,"Works, but has limits",TRUE,,,,,,,,,decor,,,,,testing,,,,,,,,WORLDWIDE,
2026-04-25T22:46:14.041Z,https://makerworld.com/en/models/1295289-golf-ball-dispenser-pro?from=recommend#profileId-1326443,makerworld.com/en/models/1295289-golf-ball-dispenser-pro,52,Marginal — needs a unique angle,Golf Ball Dispenser Pro,"A fully 3D-printed golf ball dispenser holding up to 25 balls, featuring a pedal-operated feeding mechanism, adjustable legs, and zero hardware assembly. Designed as a practice-range accessory for home golf setups.",christofer.jh,22.2h,~550g PLA (approx. 3/4 roll per designer note),23.3k,3200,1200,→ Stable,140,€28,"<b>Demand is niche and seasonal</b> — golf practice accessory searches peak in spring and early summer (March–June) and drop sharply in winter, making this a seasonal product rather than an evergreen seller. <b>Competition is low in number but high in quality</b> — injection-moulded ball dispensers dominate Amazon at €20–€45, and buyers comparing options will notice the plastic layer-line finish of an FDM print versus a smooth commercial unit. <b>The 22h print time is a serious production constraint</b> — on a single printer, completing less than one unit per day before failure rate and bed-change time makes scaling to meaningful monthly revenue very difficult without multiple machines.",€33.00,12,396,193,44,159,"Works, but has limits",TRUE,"Zero tooling — the interlocking mechanical assembly with moving pedal, axle, and adjustable legs would require expensive multi-part injection-mould tooling, making 3D printing the only economical method at low volumes.",medium,"The designer mentions a Buy Me a Coffee page where a commercial/print-for-sale license can be purchased, implying the default license is personal use — the seller must verify the exact license on the MakerWorld model page and purchase a commercial license from christofer.jh before listing prints for sale on Etsy.",medium,"Selling worldwide means US CPSC product safety rules and EU GPSR (General Product Safety Regulation, in force December 2024) both apply — since this is a functional mechanical device (not a toy or electronic), a basic product safety assessment and Declaration of Conformity are recommended before shipping to EU buyers.",medium,The design is an original work by christofer.jh with no third-party IP detected — copyright risk is limited to the designer's own rights over the model files.,,decor,etsy,,,,testing,,,some,,,,,WORLDWIDE,
2026-04-25T23:41:05.784Z,https://makerworld.com/models/2654799?appSharePlatform=copy,makerworld.com/models/2654799,52,Marginal — needs a unique angle,Curved Hard Hat Holder Safety - Ford F150,"A PETG hard hat hanger that clips onto the headrest post of a Ford F150 truck, holding two hard hats or a hard hat and jacket. Designed for construction and field workers who need in-cab storage.",HammerPrints,3.2h,~90g PETG (estimated for a structural hanger with dense rod connector),,,1200,→ Stable,180,€19,"<b>Demand is real but narrow:</b> the Ford F150 is the best-selling vehicle in the USA, giving this a large addressable base among tradespeople, but search volume for vehicle-specific hard hat holders on Etsy is low — most buyers do not think to search Etsy for this. <b>Competition is thin</b> (~180 listings), which is an opportunity, but it also signals weak organic demand rather than an untapped niche. <b>Buyer perception</b> of 3D-printed functional truck accessories is generally positive in the trades community when PETG/ABS material strength is clearly communicated — frame it as a custom-fit solution, not a generic clip.",€21.00,18,378,57,38,283,Ideal method,TRUE,"Custom fit — the exact 13.5mm rod-diameter geometry and curved profile are trivially adjusted per truck model, letting you charge a premium for a made-to-measure accessory no injection-moulded product can match.",medium,No explicit commercial or print-for-sale license is visible in the scraped data for this MakerWorld listing — verify the license tab on the model page and consider messaging HammerPrints directly to request written permission to sell prints commercially before listing on Etsy.,medium,Selling worldwide means you must comply with the strictest applicable standard across all target markets; for EU buyers this includes GPSR (December 2024) requiring a Declaration of Conformity,,,,functional,social,15-30,,,side-hustle,,,new,,,,,WORLDWIDE,
